VIN,Year,Make,Model
702975568,2001,ACURA,CL
862197617,2001,ACURA,EL
783948402,2001,ACURA,INTEGRA
954701689,2001,ACURA,MDX
644107670,2001,ACURA,NSX
666653446,2001,ACURA,RL
954839581,2001,ACURA,TL
512947280,2001,AUDI,A3
542182759,2001,AUDI,A4
996158408,2001,AUDI,A4 QUATTRO
833471505,2001,AUDI,A6
998954009,2001,AUDI,A6 QUATTRO
532177696,2001,AUDI,A8 QUATTRO
710490892,2001,AUDI,ALLROAD QUATTRO
560284263,2001,AUDI,S3
253268810,2001,AUDI,S4
307780717,2001,AUDI,S6
528712154,2001,AUDI,S8
685606614,2001,AUDI,TT
313036380,2001,AUDI,TT QUATTRO
540678052,2001,BMW,320I
807763670,2001,BMW,323I
878946518,2001,BMW,325CI
902865961,2001,BMW,325I
900782931,2001,BMW,325XI
497370798,2001,BMW,330CI
319753556,2001,BMW,330I
758804227,2001,BMW,330XI
896894294,2001,BMW,525I
771502573,2001,BMW,530I
145511112,2001,BMW,540I
723704338,2001,BMW,740I
955161714,2001,BMW,740IL
739503193,2001,BMW,750IL
234638062,2001,BMW,F650 ENDURO
910905440,2001,BMW,F650CS
633398045,2001,BMW,F650GS
664662163,2001,BMW,F650GS ABS
153805430,2001,BMW,F650GS DAKAR
984851526,2001,BMW,K1200LT
371138668,2001,BMW,K1200LTC
452722902,2001,BMW,K1200LTI ICON
498397073,2001,BMW,K1200RS
484437042,2001,BMW,M3
171784212,2001,BMW,M5
788987818,2001,BMW,R1100RL
317685599,2001,BMW,R1100RS ABS
494481170,2001,BMW,R1100RT
938519337,2001,BMW,R1100S
759606499,2001,BMW,R1100SA
326599530,2001,BMW,R1150GS
453354942,2001,BMW,R1150R
472706416,2001,BMW,R1150RS
857220519,2001,BMW,R1150RT
937575118,2001,BMW,R1200C
827799523,2001,BMW,R1200C AVANTGARDE
873988847,2001,BMW,R1200C CLASSIC
207105123,2001,BMW,R1200C EURO
219838196,2001,BMW,R1200C INDEPENDENT
163905994,2001,BMW,R1200C MONTANA
698383046,2001,BMW,R1200C PHOENIX
450210218,2001,BMW,R1200C STILETTO
270296083,2001,BMW,R850R
635907677,2001,BMW,X5
884610648,2001,BMW,Z3
814817112,2001,BMW,Z8
706398344,2001,BUICK,CENTURY
428897269,2001,BUICK,LESABRE
223668749,2001,BUICK,PARK AVENUE
355908544,2001,BUICK,REGAL
726708703,2001,CADILLAC,CATERA
348649380,2001,CADILLAC,DEVILLE
252192818,2001,CADILLAC,ELDORADO
923209594,2001,CADILLAC,SEVILLE
513619815,2001,CHEVROLET,ASTRA
366433651,2001,CHEVROLET,ASTRO
691257667,2001,CHEVROLET,B7
